"Year"	"Month"	"Day"	"TempMin"	"Matin.Piche"	"TempMax"	"Soir.Piche"	"Rainfall"	"Comments"	"Lacking"	"dates"	"julian"	"tminauto"	"tmaxauto"	"rainauto"	"tmine"	"tmaxe"	"raine"
2003	3	2	22.7	12.5	30	13.1	8.3	""	"no"	2003-03-02	2Mar2003	NA	NA	NA	22.7	30	8.3
2003	3	3	22.2	13.2	29.8	13.7	13	""	"no"	2003-03-03	3Mar2003	NA	NA	NA	22.2	29.8	13
2003	3	4	21.5	13.8	31	14.8	1.2	""	"no"	2003-03-04	4Mar2003	NA	NA	NA	21.5	31	1.2
2003	3	5	22.5	15	31.5	16.5	0.5	""	"no"	2003-03-05	5Mar2003	NA	NA	NA	22.5	31.5	0.5
2003	3	6	21.8	0.2	30.6	1.3	12.9	""	"no"	2003-03-06	6Mar2003	NA	NA	NA	21.8	30.6	12.9
2003	3	7	22	1.4	29	2	18.9	""	"no"	2003-03-07	7Mar2003	NA	NA	NA	22	29	18.9
2003	3	8	21.5	2.2	30.5	3	2.2	""	"no"	2003-03-08	8Mar2003	NA	NA	NA	21.5	30.5	2.2
2003	3	9	23	3.2	30	4.3	2.7	""	"no"	2003-03-09	9Mar2003	NA	NA	NA	23	30	2.7
2003	3	10	22	4.4	30	5.6	1.7	""	"no"	2003-03-10	10Mar2003	NA	NA	NA	22	30	1.7
2003	3	11	21.5	5.7	30.5	6.7	1	""	"no"	2003-03-11	11Mar2003	NA	NA	NA	21.5	30.5	1
2003	3	12	22.3	7	30.5	7.9	1.9	""	"no"	2003-03-12	12Mar2003	NA	NA	NA	22.3	30.5	1.9
2003	3	13	21.7	8.3	31.5	9.8	0.3	""	"no"	2003-03-13	13Mar2003	NA	NA	NA	21.7	31.5	0.3
2003	3	14	21.7	10.1	32.5	11.8	0	""	"no"	2003-03-14	14Mar2003	NA	NA	NA	21.7	32.5	0
2003	3	15	21.3	12.1	32	13.2	0.4	""	"no"	2003-03-15	15Mar2003	NA	NA	NA	21.3	32	0.4
2003	3	16	21	13.3	32.5	15	0.1	""	"no"	2003-03-16	16Mar2003	NA	NA	NA	21	32.5	0.1
2003	3	17	20.5	15.3	33	1.3	0.2	""	"no"	2003-03-17	17Mar2003	NA	NA	NA	20.5	33	0.2
2003	3	18	22.5	2.3	34.5	4.1	0	""	"no"	2003-03-18	18Mar2003	NA	NA	NA	22.5	34.5	0
2003	3	19	20.7	4.4	34.2	6.2	9.1	""	"no"	2003-03-19	19Mar2003	NA	NA	NA	20.7	34.2	9.1
2003	3	20	21.3	6.3	33.5	7.5	3.7	""	"no"	2003-03-20	20Mar2003	NA	NA	NA	21.3	33.5	3.7
2003	3	21	23	7.5	31.2	8.2	2	""	"no"	2003-03-21	21Mar2003	NA	NA	NA	23	31.2	2
2003	3	22	22	8.3	33.3	9.8	4.1	""	"no"	2003-03-22	22Mar2003	NA	NA	NA	22	33.3	4.1
2003	3	23	22	9.8	32.5	10.7	23.6	""	"no"	2003-03-23	23Mar2003	NA	NA	NA	22	32.5	23.6
2003	3	24	22	10.8	26.7	11.1	7.1	""	"no"	2003-03-24	24Mar2003	NA	NA	NA	22	26.7	7.1
2003	3	25	23	11.1	30.5	11.9	0.9	""	"no"	2003-03-25	25Mar2003	NA	NA	NA	23	30.5	0.9
2003	3	26	22.2	12	31.7	13.4	0.5	""	"no"	2003-03-26	26Mar2003	NA	NA	NA	22.2	31.7	0.5
2003	3	27	21.5	13.6	34	15.3	0.3	""	"no"	2003-03-27	27Mar2003	NA	NA	NA	21.5	34	0.3
2003	3	28	20.7	15.4	35.5	1.7	2.9	""	"no"	2003-03-28	28Mar2003	NA	NA	NA	20.7	35.5	2.9
2003	3	29	22.2	1.9	34.2	2.9	6.2	""	"no"	2003-03-29	29Mar2003	NA	NA	NA	22.2	34.2	6.2
2003	3	30	23.5	3	32	3.9	3.9	""	"no"	2003-03-30	30Mar2003	NA	NA	NA	23.5	32	3.9
2003	3	31	22.7	4	33	5	12.1	""	"no"	2003-03-31	31Mar2003	NA	NA	NA	22.7	33	12.1
2003	4	1	21.7	5.1	32.5	5.9	30.2	""	"no"	2003-04-01	1Apr2003	NA	NA	NA	21.7	32.5	30.2
2003	4	2	24	6	30	6.4	21.5	""	"no"	2003-04-02	2Apr2003	NA	NA	NA	24	30	21.5
2003	4	3	23	6.4	31	7.1	3.1	""	"no"	2003-04-03	3Apr2003	NA	NA	NA	23	31	3.1
2003	4	4	22.2	7.2	31	8.8	0.1	""	"no"	2003-04-04	4Apr2003	NA	NA	NA	22.2	31	0.1
2003	4	5	22.2	8.9	32	10.2	1.7	""	"no"	2003-04-05	5Apr2003	NA	NA	NA	22.2	32	1.7
2003	4	6	21.5	10.4	32.7	12.7	0.1	""	"no"	2003-04-06	6Apr2003	NA	NA	NA	21.5	32.7	0.1
2003	4	7	21	12.8	31.7	14.5	0.4	""	"no"	2003-04-07	7Apr2003	NA	NA	NA	21	31.7	0.4
2003	4	8	21	14.6	34.2	1.7	0.1	""	"no"	2003-04-08	8Apr2003	NA	NA	NA	21	34.2	0.1
2003	4	9	20.8	1.9	32	2.9	4.7	""	"no"	2003-04-09	9Apr2003	NA	NA	NA	20.8	32	4.7
2003	4	10	22	3	30	3.4	6.3	""	"no"	2003-04-10	10Apr2003	NA	NA	NA	22	30	6.3
2003	4	11	23.5	3.5	28	3.7	38.3	""	"no"	2003-04-11	11Apr2003	NA	NA	NA	23.5	28	38.3
2003	4	12	23.2	3.7	31	4.1	8.6	""	"no"	2003-04-12	12Apr2003	NA	NA	NA	23.2	31	8.6
2003	4	13	23.7	4.1	30.5	4.9	3.5	""	"no"	2003-04-13	13Apr2003	NA	NA	NA	23.7	30.5	3.5
2003	4	14	23	5	31	5.6	10.8	""	"no"	2003-04-14	14Apr2003	NA	NA	NA	23	31	10.8
2003	4	15	23.5	5.7	29.2	6	52.6	""	"no"	2003-04-15	15Apr2003	NA	NA	NA	23.5	29.2	52.6
2003	4	16	23	6	29	6.4	59.2	""	"no"	2003-04-16	16Apr2003	NA	NA	NA	23	29	59.2
2003	4	17	22	6.4	32	7.1	11.7	""	"no"	2003-04-17	17Apr2003	NA	NA	NA	22	32	11.7
2003	4	18	23	7.1	28.2	7.9	2.9	""	"no"	2003-04-18	18Apr2003	NA	NA	NA	23	28.2	2.9
2003	4	19	23.5	8	28	8.2	20.9	""	"no"	2003-04-19	19Apr2003	NA	NA	NA	23.5	28	20.9
2003	4	20	22	8.3	32.7	9.8	0.2	""	"no"	2003-04-20	20Apr2003	NA	NA	NA	22	32.7	0.2
2003	4	21	21.7	9.9	32.7	10.8	6.9	""	"no"	2003-04-21	21Apr2003	NA	NA	NA	21.7	32.7	6.9
2003	4	22	23.5	10.8	29	11.1	10.4	""	"no"	2003-04-22	22Apr2003	NA	NA	NA	23.5	29	10.4
2003	4	23	23.3	11.2	31.7	11.7	6.1	""	"no"	2003-04-23	23Apr2003	NA	NA	NA	23.3	31.7	6.1
2003	4	24	23.5	11.7	31.3	12.5	36.6	""	"no"	2003-04-24	24Apr2003	NA	NA	NA	23.5	31.3	36.6
2003	4	25	23	12.5	28.3	12.9	13.5	""	"no"	2003-04-25	25Apr2003	NA	NA	NA	23	28.3	13.5
2003	4	26	23	13	31.5	13.9	1.7	""	"no"	2003-04-26	26Apr2003	NA	NA	NA	23	31.5	1.7
2003	4	27	23.2	13.9	28.1	14.4	6.3	""	"no"	2003-04-27	27Apr2003	NA	NA	NA	23.2	28.1	6.3
2003	4	28	22.5	14.4	29	15	8.5	""	"no"	2003-04-28	28Apr2003	NA	NA	NA	22.5	29	8.5
2003	4	29	21.5	15	31	0.6	3.4	""	"no"	2003-04-29	29Apr2003	NA	NA	NA	21.5	31	3.4
2003	4	30	23	0.7	29.5	1	15.2	""	"no"	2003-04-30	30Apr2003	NA	NA	NA	23	29.5	15.2
2003	5	1	24	1	27.1	1.2	39	""	"no"	2003-05-01	1May2003	NA	NA	NA	24	27.1	39
2003	5	2	23.5	1.3	29.7	1.8	19.2	""	"no"	2003-05-02	2May2003	NA	NA	NA	23.5	29.7	19.2
2003	5	3	23.1	1.8	28.5	2.3	5.3	""	"no"	2003-05-03	3May2003	NA	NA	NA	23.1	28.5	5.3
2003	5	4	23	2.4	30.5	3	4.6	""	"no"	2003-05-04	4May2003	NA	NA	NA	23	30.5	4.6
2003	5	5	23.5	3	27.2	3.2	37.2	""	"no"	2003-05-05	5May2003	NA	NA	NA	23.5	27.2	37.2
2003	5	6	23	3.2	28.5	3.5	19.6	""	"no"	2003-05-06	6May2003	NA	NA	NA	23	28.5	19.6
2003	5	7	23	3.5	29	3.9	6.6	""	"no"	2003-05-07	7May2003	NA	NA	NA	23	29	6.6
2003	5	8	23	4	26.5	4.2	16.8	""	"no"	2003-05-08	8May2003	NA	NA	NA	23	26.5	16.8
2003	5	9	22.7	4.3	32.5	5.4	0.2	""	"no"	2003-05-09	9May2003	NA	NA	NA	22.7	32.5	0.2
2003	5	10	22	5.5	31.5	6.4	18.6	""	"no"	2003-05-10	10May2003	NA	NA	NA	22	31.5	18.6
2003	5	11	21.7	6.4	33	7.2	4.7	""	"no"	2003-05-11	11May2003	NA	NA	NA	21.7	33	4.7
2003	5	12	21.5	7.3	32	8.2	3	""	"no"	2003-05-12	12May2003	NA	NA	NA	21.5	32	3
2003	5	13	23	8.2	28.5	8.5	30.5	""	"no"	2003-05-13	13May2003	NA	NA	NA	23	28.5	30.5
2003	5	14	22.5	8.5	32	9	7.4	""	"no"	2003-05-14	14May2003	NA	NA	NA	22.5	32	7.4
2003	5	15	23	9	32	9.7	17.4	""	"no"	2003-05-15	15May2003	NA	NA	NA	23	32	17.4
2003	5	16	23.5	9.7	28	9.9	23.8	""	"no"	2003-05-16	16May2003	NA	NA	NA	23.5	28	23.8
2003	5	17	23.5	9.9	30.1	10.3	48.5	""	"no"	2003-05-17	17May2003	NA	NA	NA	23.5	30.1	48.5
2003	5	18	24	10.3	31.2	11.1	6.5	""	"no"	2003-05-18	18May2003	NA	NA	NA	24	31.2	6.5
2003	5	19	23.5	11.1	29.2	11.5	5.8	""	"no"	2003-05-19	19May2003	NA	NA	NA	23.5	29.2	5.8
2003	5	20	23	11.5	30.1	12.3	8.8	""	"no"	2003-05-20	20May2003	NA	NA	NA	23	30.1	8.8
2003	5	21	23.7	12.3	27.5	12.7	2.4	""	"no"	2003-05-21	21May2003	NA	NA	NA	23.7	27.5	2.4
2003	5	22	23.2	12.7	28.4	13.3	0.6	""	"no"	2003-05-22	22May2003	NA	NA	NA	23.2	28.4	0.6
2003	5	23	23.8	13.3	29	13.6	9.1	""	"no"	2003-05-23	23May2003	NA	NA	NA	23.8	29	9.1
2003	5	24	23	13.6	25	13.7	46.8	""	"no"	2003-05-24	24May2003	NA	NA	NA	23	25	46.8
2003	5	25	22	13.7	28.7	14	49.9	""	"no"	2003-05-25	25May2003	NA	NA	NA	22	28.7	49.9
2003	5	26	22	14	30.5	14.9	1.4	""	"no"	2003-05-26	26May2003	NA	NA	NA	22	30.5	1.4
2003	5	27	23	15	30	15.4	11.1	""	"no"	2003-05-27	27May2003	NA	NA	NA	23	30	11.1
2003	5	28	23	15.4	30.5	0.3	10.2	""	"no"	2003-05-28	28May2003	NA	NA	NA	23	30.5	10.2
2003	5	29	22.8	0.3	31.3	1	50.2	""	"no"	2003-05-29	29May2003	NA	NA	NA	22.8	31.3	50.2
2003	5	30	22	1	32	1.6	8.5	""	"no"	2003-05-30	30May2003	NA	NA	NA	22	32	8.5
2003	5	31	22.2	1.6	32.5	2.6	7.4	""	"no"	2003-05-31	31May2003	NA	NA	NA	22.2	32.5	7.4
2003	10	1	21.5	15.5	34.5	1.9	0.1	""	"no"	2003-10-01	1Oct2003	NA	NA	NA	21.5	34.5	0.1
2003	10	2	21.5	2	34.5	3.1	13.1	""	"no"	2003-10-02	2Oct2003	NA	NA	NA	21.5	34.5	13.1
2003	10	3	21.5	3.2	32.5	4.3	0.3	""	"no"	2003-10-03	3Oct2003	NA	NA	NA	21.5	32.5	0.3
2003	10	4	21.5	4.4	32	5.5	2.9	""	"no"	2003-10-04	4Oct2003	NA	NA	NA	21.5	32	2.9
2003	10	5	21	5.6	31.7	6.4	11.7	""	"no"	2003-10-05	5Oct2003	NA	NA	NA	21	31.7	11.7
2003	10	6	21.5	6.4	32	7.8	0.6	""	"no"	2003-10-06	6Oct2003	NA	NA	NA	21.5	32	0.6
2003	10	7	22	7.9	33.5	9.2	1	""	"no"	2003-10-07	7Oct2003	NA	NA	NA	22	33.5	1
2003	10	8	21	9.2	33	10.5	12.7	""	"no"	2003-10-08	8Oct2003	NA	NA	NA	21	33	12.7
2003	10	9	21.7	10.6	32.5	12.1	0.1	""	"no"	2003-10-09	9Oct2003	NA	NA	NA	21.7	32.5	0.1
2003	10	10	22.7	12.2	32	13.4	13.4	""	"no"	2003-10-10	10Oct2003	NA	NA	NA	22.7	32	13.4
2003	10	11	21.5	13.4	32.5	14.5	0.5	""	"no"	2003-10-11	11Oct2003	NA	NA	NA	21.5	32.5	0.5
2003	10	12	22.5	14.5	33.5	16.1	2.2	""	"no"	2003-10-12	12Oct2003	NA	NA	NA	22.5	33.5	2.2
2003	10	13	21.5	16.1	30.5	0.8	16.7	""	"no"	2003-10-13	13Oct2003	NA	NA	NA	21.5	30.5	16.7
2003	10	14	22.5	0.9	32.7	2.3	0.7	""	"no"	2003-10-14	14Oct2003	NA	NA	NA	22.5	32.7	0.7
2003	10	15	22.5	2.4	32.5	3.9	0.7	""	"no"	2003-10-15	15Oct2003	NA	NA	NA	22.5	32.5	0.7
2003	10	16	22	4	32.5	5.7	0.1	""	"no"	2003-10-16	16Oct2003	NA	NA	NA	22	32.5	0.1
2003	10	17	22.5	5.8	30.5	7.5	0	""	"no"	2003-10-17	17Oct2003	NA	NA	NA	22.5	30.5	0
2003	10	18	22	7.6	31.5	8.5	13.1	""	"no"	2003-10-18	18Oct2003	NA	NA	NA	22	31.5	13.1
2003	10	19	22.3	8.5	30.7	9.5	4.9	""	"no"	2003-10-19	19Oct2003	NA	NA	NA	22.3	30.7	4.9
2003	10	20	22.3	9.6	32.5	11.3	1.6	""	"no"	2003-10-20	20Oct2003	NA	NA	NA	22.3	32.5	1.6
2003	10	21	23.5	11.4	33	13.4	0	""	"no"	2003-10-21	21Oct2003	NA	NA	NA	23.5	33	0
2003	10	22	22	13.5	31.5	14.5	4.7	""	"no"	2003-10-22	22Oct2003	NA	NA	NA	22	31.5	4.7
2003	10	23	21.5	14.5	33.3	15.8	4.3	""	"no"	2003-10-23	23Oct2003	NA	NA	NA	21.5	33.3	4.3
2003	10	24	22	15.8	33	1.4	3.2	""	"no"	2003-10-24	24Oct2003	NA	NA	NA	22	33	3.2
2003	10	25	22	1.4	34.3	2.9	2.9	""	"no"	2003-10-25	25Oct2003	NA	NA	NA	22	34.3	2.9
2003	10	26	21.5	3	34	4.5	2.6	""	"no"	2003-10-26	26Oct2003	NA	NA	NA	21.5	34	2.6
2003	10	27	22	4.5	33	5.9	29.4	""	"no"	2003-10-27	27Oct2003	NA	NA	NA	22	33	29.4
2003	10	28	21	5.9	32.5	7.3	6.7	""	"no"	2003-10-28	28Oct2003	NA	NA	NA	21	32.5	6.7
2003	10	29	21.5	7.4	33.5	8.9	1.1	""	"no"	2003-10-29	29Oct2003	NA	NA	NA	21.5	33.5	1.1
2003	10	30	21.5	8.9	34.5	10.7	0.2	""	"no"	2003-10-30	30Oct2003	NA	NA	NA	21.5	34.5	0.2
2003	10	31	21	10.8	34.5	12.8	1.2	""	"no"	2003-10-31	31Oct2003	NA	NA	NA	21	34.5	1.2
2003	11	1	NA	NA	NA	NA	NA	""	"yes"	2003-11-01	1Nov2003	NA	NA	NA	NA	NA	NA
2003	11	2	NA	NA	NA	NA	NA	""	"yes"	2003-11-02	2Nov2003	NA	NA	NA	NA	NA	NA
2003	11	3	NA	NA	NA	NA	NA	""	"yes"	2003-11-03	3Nov2003	NA	NA	NA	NA	NA	NA
2003	11	4	NA	NA	NA	NA	NA	""	"yes"	2003-11-04	4Nov2003	NA	NA	NA	NA	NA	NA
2003	11	5	NA	NA	NA	NA	NA	""	"yes"	2003-11-05	5Nov2003	NA	NA	NA	NA	NA	NA
2003	11	6	NA	NA	NA	NA	NA	""	"yes"	2003-11-06	6Nov2003	NA	NA	NA	NA	NA	NA
2003	11	7	NA	NA	NA	NA	NA	""	"yes"	2003-11-07	7Nov2003	NA	NA	NA	NA	NA	NA
2003	11	8	NA	NA	NA	NA	NA	""	"yes"	2003-11-08	8Nov2003	NA	NA	NA	NA	NA	NA
2003	11	9	NA	NA	NA	NA	NA	""	"yes"	2003-11-09	9Nov2003	NA	NA	NA	NA	NA	NA
2003	11	10	NA	NA	NA	NA	NA	""	"yes"	2003-11-10	10Nov2003	NA	NA	NA	NA	NA	NA
2003	11	11	NA	NA	NA	NA	NA	""	"yes"	2003-11-11	11Nov2003	NA	NA	NA	NA	NA	NA
2003	11	12	NA	NA	NA	NA	NA	""	"yes"	2003-11-12	12Nov2003	NA	NA	NA	NA	NA	NA
2003	11	13	NA	NA	NA	NA	NA	""	"yes"	2003-11-13	13Nov2003	NA	NA	NA	NA	NA	NA
2003	11	14	NA	NA	NA	NA	NA	""	"yes"	2003-11-14	14Nov2003	NA	NA	NA	NA	NA	NA
2003	11	15	NA	NA	NA	NA	NA	""	"yes"	2003-11-15	15Nov2003	NA	NA	NA	NA	NA	NA
2003	11	16	NA	NA	NA	NA	NA	""	"yes"	2003-11-16	16Nov2003	NA	NA	NA	NA	NA	NA
2003	11	17	NA	NA	NA	NA	NA	""	"yes"	2003-11-17	17Nov2003	NA	NA	NA	NA	NA	NA
2003	11	18	NA	NA	NA	NA	NA	""	"yes"	2003-11-18	18Nov2003	NA	NA	NA	NA	NA	NA
2003	11	19	NA	NA	NA	NA	NA	""	"yes"	2003-11-19	19Nov2003	NA	NA	NA	NA	NA	NA
2003	11	20	NA	NA	NA	NA	NA	""	"yes"	2003-11-20	20Nov2003	NA	NA	NA	NA	NA	NA
2003	11	21	NA	NA	NA	NA	NA	""	"yes"	2003-11-21	21Nov2003	NA	NA	NA	NA	NA	NA
2003	11	22	NA	NA	NA	NA	NA	""	"yes"	2003-11-22	22Nov2003	NA	NA	NA	NA	NA	NA
2003	11	23	NA	NA	NA	NA	NA	""	"yes"	2003-11-23	23Nov2003	NA	NA	NA	NA	NA	NA
2003	11	24	NA	NA	NA	NA	NA	""	"yes"	2003-11-24	24Nov2003	NA	NA	NA	NA	NA	NA
2003	11	25	NA	NA	NA	NA	NA	""	"yes"	2003-11-25	25Nov2003	NA	NA	NA	NA	NA	NA
2003	11	26	NA	NA	NA	NA	NA	""	"yes"	2003-11-26	26Nov2003	NA	NA	NA	NA	NA	NA
2003	11	27	NA	NA	NA	NA	NA	""	"yes"	2003-11-27	27Nov2003	NA	NA	NA	NA	NA	NA
2003	11	28	NA	NA	NA	NA	NA	""	"yes"	2003-11-28	28Nov2003	NA	NA	NA	NA	NA	NA
2003	11	29	NA	NA	NA	NA	NA	""	"yes"	2003-11-29	29Nov2003	NA	NA	NA	NA	NA	NA
2003	11	30	NA	NA	NA	NA	NA	""	"yes"	2003-11-30	30Nov2003	NA	NA	NA	NA	NA	NA
2003	12	1	NA	NA	NA	NA	NA	""	"yes"	2003-12-01	1Dec2003	NA	NA	NA	NA	NA	NA
2003	12	2	NA	NA	NA	NA	NA	""	"yes"	2003-12-02	2Dec2003	NA	NA	NA	NA	NA	NA
2003	12	3	NA	NA	NA	NA	NA	""	"yes"	2003-12-03	3Dec2003	NA	NA	NA	NA	NA	NA
2003	12	4	NA	NA	NA	NA	NA	""	"yes"	2003-12-04	4Dec2003	NA	NA	NA	NA	NA	NA
2003	12	5	NA	NA	NA	NA	NA	""	"yes"	2003-12-05	5Dec2003	NA	NA	NA	NA	NA	NA
